symbol,date,open,high,low,close,volume,wap,barcount
NVDA,20250505 12:24:00 US/Eastern,113.91,113.93,113.86,113.91,122339,113.91,386
NVDA,20250505 12:25:00 US/Eastern,113.9,113.92,113.84,113.84,137581,113.875,482
NVDA,20250505 12:26:00 US/Eastern,113.84,113.87,113.77,113.78,172092,113.833,491
NVDA,20250505 12:27:00 US/Eastern,113.78,113.85,113.77,113.83,82608,113.807,348
NVDA,20250505 12:28:00 US/Eastern,113.83,113.9,113.82,113.83,106638,113.861,385
NVDA,20250505 12:29:00 US/Eastern,113.83,113.86,113.73,113.79,138461,113.791,472
NVDA,20250505 12:30:00 US/Eastern,113.79,113.79,113.74,113.76,74219,113.761,303
NVDA,20250505 12:31:00 US/Eastern,113.76,113.78,113.64,113.65,183144,113.727,453
NVDA,20250505 12:32:00 US/Eastern,113.66,113.7,113.61,113.67,170627,113.663,554
NVDA,20250505 12:33:00 US/Eastern,113.67,113.75,113.67,113.75,105628,113.718,357
NVDA,20250505 12:34:00 US/Eastern,113.75,113.75,113.67,113.71,65867,113.709,255
NVDA,20250505 12:35:00 US/Eastern,113.71,113.77,113.67,113.77,131465,113.734,478
NVDA,20250505 12:36:00 US/Eastern,113.77,113.8,113.7,113.77,137353,113.762,424
NVDA,20250505 12:37:00 US/Eastern,113.78,113.83,113.77,113.81,94300,113.799,291
NVDA,20250505 12:38:00 US/Eastern,113.81,113.83,113.78,113.82,104903,113.809,252
NVDA,20250505 12:39:00 US/Eastern,113.81,113.88,113.81,113.86,180870,113.855,561
NVDA,20250505 12:40:00 US/Eastern,113.86,113.98,113.85,113.98,271432,113.937,778
NVDA,20250505 12:41:00 US/Eastern,113.98,114.05,113.95,114.05,379818,113.997,1140
NVDA,20250505 12:42:00 US/Eastern,114.04,114.06,113.99,114.01,262276,114.029,1023
NVDA,20250505 12:43:00 US/Eastern,114.01,114.03,113.94,114.02,184197,113.984,653
NVDA,20250505 12:44:00 US/Eastern,114.02,114.04,113.97,114.02,127936,114.01,398
NVDA,20250505 12:45:00 US/Eastern,114.03,114.04,113.95,113.99,101431,113.992,355
NVDA,20250505 12:46:00 US/Eastern,114.0,114.01,113.92,113.98,149357,113.959,475
NVDA,20250505 12:47:00 US/Eastern,113.98,114.0,113.96,113.98,78611,113.982,239
NVDA,20250505 12:48:00 US/Eastern,113.97,114.02,113.97,113.97,121421,113.994,474
NVDA,20250505 12:49:00 US/Eastern,113.98,114.03,113.94,114.02,102556,114.008,378
NVDA,20250505 12:50:00 US/Eastern,114.03,114.06,113.94,113.96,245473,114.009,533
NVDA,20250505 12:51:00 US/Eastern,113.95,113.97,113.86,113.92,189363,113.916,544
NVDA,20250505 12:52:00 US/Eastern,113.92,113.94,113.85,113.86,96945,113.909,313
NVDA,20250505 12:53:00 US/Eastern,113.85,113.92,113.85,113.89,116860,113.883,439
NVDA,20250505 12:54:00 US/Eastern,113.89,113.96,113.88,113.96,99517,113.923,399
NVDA,20250505 12:55:00 US/Eastern,113.96,113.99,113.93,113.98,132351,113.96,355
NVDA,20250505 12:56:00 US/Eastern,113.98,114.05,113.97,114.01,183251,114.013,499
NVDA,20250505 12:57:00 US/Eastern,114.02,114.03,113.95,113.99,118172,113.991,403
NVDA,20250505 12:58:00 US/Eastern,114.0,114.0,113.95,113.97,87511,113.972,399
NVDA,20250505 12:59:00 US/Eastern,113.96,114.04,113.96,114.02,112169,114.002,452
NVDA,20250505 13:00:00 US/Eastern,114.02,114.04,113.9,113.93,190625,113.947,695
NVDA,20250505 13:01:00 US/Eastern,113.93,113.96,113.89,113.91,134343,113.929,399
NVDA,20250505 13:02:00 US/Eastern,113.91,113.99,113.88,113.96,149066,113.938,503
NVDA,20250505 13:03:00 US/Eastern,113.96,114.03,113.92,113.92,138129,113.967,498
NVDA,20250505 13:04:00 US/Eastern,113.93,113.94,113.88,113.91,194713,113.909,493
NVDA,20250505 13:05:00 US/Eastern,113.92,113.96,113.89,113.93,78728,113.919,294
NVDA,20250505 13:06:00 US/Eastern,113.93,113.98,113.9,113.92,151090,113.945,479
NVDA,20250505 13:07:00 US/Eastern,113.93,113.94,113.89,113.91,73043,113.908,250
NVDA,20250505 13:08:00 US/Eastern,113.92,114.06,113.9,114.02,252360,114.013,687
NVDA,20250505 13:09:00 US/Eastern,114.03,114.05,113.95,114.05,232475,114.004,672
NVDA,20250505 13:10:00 US/Eastern,114.04,114.1,114.01,114.09,358818,114.068,1174
NVDA,20250505 13:11:00 US/Eastern,114.09,114.1,114.03,114.08,203448,114.076,567
NVDA,20250505 13:12:00 US/Eastern,114.08,114.08,113.97,114.01,130250,114.014,445
NVDA,20250505 13:13:00 US/Eastern,114.01,114.04,113.95,113.98,191059,113.997,515
NVDA,20250505 13:14:00 US/Eastern,113.98,113.99,113.92,113.95,130571,113.965,315
NVDA,20250505 13:15:00 US/Eastern,113.95,113.97,113.87,113.93,194038,113.915,655
NVDA,20250505 13:16:00 US/Eastern,113.93,113.97,113.9,113.97,178756,113.94,511
NVDA,20250505 13:17:00 US/Eastern,113.98,113.99,113.93,113.98,114543,113.963,319
NVDA,20250505 13:18:00 US/Eastern,113.99,113.99,113.9,113.94,125316,113.929,414
NVDA,20250505 13:19:00 US/Eastern,113.93,113.98,113.91,113.98,60383,113.947,230
NVDA,20250505 13:20:00 US/Eastern,113.97,114.04,113.95,114.01,145896,114.006,410
NVDA,20250505 13:21:00 US/Eastern,114.01,114.03,113.98,114.01,58092,114.015,193
NVDA,20250505 13:22:00 US/Eastern,114.01,114.04,113.98,113.98,41592,114.019,176
NVDA,20250505 13:23:00 US/Eastern,113.98,114.0,113.95,113.97,80585,113.977,258
NVDA,20250505 13:24:00 US/Eastern,113.98,114.05,113.95,114.03,71508,114.008,219
NVDA,20250505 13:25:00 US/Eastern,114.03,114.16,114.03,114.12,312530,114.108,979
NVDA,20250505 13:26:00 US/Eastern,114.12,114.14,114.05,114.09,97764,114.09,392
NVDA,20250505 13:27:00 US/Eastern,114.09,114.16,114.08,114.12,148550,114.135,509
NVDA,20250505 13:28:00 US/Eastern,114.12,114.15,114.11,114.14,110699,114.13,423
NVDA,20250505 13:29:00 US/Eastern,114.14,114.15,114.11,114.13,96582,114.134,465
NVDA,20250505 13:30:00 US/Eastern,114.14,114.15,114.1,114.12,139521,114.13,446
NVDA,20250505 13:31:00 US/Eastern,114.13,114.2,114.12,114.16,132279,114.16,522
NVDA,20250505 13:32:00 US/Eastern,114.16,114.32,114.14,114.29,295587,114.25,943
NVDA,20250505 13:33:00 US/Eastern,114.29,114.32,114.22,114.27,196276,114.277,770
NVDA,20250505 13:34:00 US/Eastern,114.27,114.31,114.22,114.26,172315,114.274,500
NVDA,20250505 13:35:00 US/Eastern,114.26,114.3,114.22,114.3,112258,114.255,367
NVDA,20250505 13:36:00 US/Eastern,114.3,114.37,114.27,114.33,215909,114.327,643
NVDA,20250505 13:37:00 US/Eastern,114.33,114.34,114.27,114.29,125816,114.31,440
NVDA,20250505 13:38:00 US/Eastern,114.29,114.29,114.18,114.22,195771,114.213,458
NVDA,20250505 13:39:00 US/Eastern,114.21,114.29,114.2,114.29,138973,114.252,424
NVDA,20250505 13:40:00 US/Eastern,114.29,114.32,114.27,114.32,110725,114.304,357
NVDA,20250505 13:41:00 US/Eastern,114.31,114.32,114.22,114.28,142206,114.266,414
NVDA,20250505 13:42:00 US/Eastern,114.28,114.28,114.2,114.25,108077,114.23,321
NVDA,20250505 13:43:00 US/Eastern,114.25,114.26,114.2,114.22,75832,114.226,275
NVDA,20250505 13:44:00 US/Eastern,114.22,114.23,114.19,114.2,71501,114.209,236
NVDA,20250505 13:45:00 US/Eastern,114.2,114.25,114.18,114.21,82356,114.219,351
NVDA,20250505 13:46:00 US/Eastern,114.2,114.25,114.18,114.23,76376,114.214,222
NVDA,20250505 13:47:00 US/Eastern,114.23,114.26,114.22,114.25,78032,114.241,233
NVDA,20250505 13:48:00 US/Eastern,114.25,114.27,114.22,114.25,80187,114.243,371
NVDA,20250505 13:49:00 US/Eastern,114.24,114.26,114.22,114.23,81711,114.242,313
NVDA,20250505 13:50:00 US/Eastern,114.23,114.29,114.2,114.28,153954,114.235,493
NVDA,20250505 13:51:00 US/Eastern,114.28,114.3,114.23,114.27,97351,114.263,385
NVDA,20250505 13:52:00 US/Eastern,114.27,114.27,114.17,114.19,228592,114.208,552
NVDA,20250505 13:53:00 US/Eastern,114.19,114.25,114.16,114.25,104128,114.202,437
NVDA,20250505 13:54:00 US/Eastern,114.25,114.34,114.23,114.31,189201,114.297,562
NVDA,20250505 13:55:00 US/Eastern,114.31,114.34,114.28,114.3,163011,114.305,524
NVDA,20250505 13:56:00 US/Eastern,114.3,114.33,114.27,114.28,68669,114.302,255
NVDA,20250505 13:57:00 US/Eastern,114.28,114.36,114.27,114.35,136601,114.332,435
NVDA,20250505 13:58:00 US/Eastern,114.34,114.35,114.3,114.32,126013,114.328,399
NVDA,20250505 13:59:00 US/Eastern,114.32,114.32,114.25,114.26,133583,114.281,591
NVDA,20250505 14:00:00 US/Eastern,114.27,114.29,114.23,114.25,112067,114.257,380
NVDA,20250505 14:01:00 US/Eastern,114.25,114.28,114.22,114.27,44178,114.251,215
NVDA,20250505 14:02:00 US/Eastern,114.26,114.29,114.24,114.26,84309,114.263,350
